StudentID,Semester,Course,Hours,Grade
79,FS2020,ART 1320,3,B
13,FS2020,HIST 2132,3,B
33,FS2020,SOC 1376,4,B
5,FS2020,MATH 1278,3,A
67,FS2020,ECON 1885,3,A
76,FS2020,CS 2792,3,B
47,FS2020,HIST 1095,3,F
28,FS2020,ECON 2413,3,A
31,FS2020,BIO 1642,3,C
77,FS2020,PSY 2158,4,B
28,FS2020,ART 1508,4,B
12,FS2020,ECON 1466,3,B
37,FS2020,CS 1608,2,A
62,FS2020,ME 2465,3,C
7,FS2020,MUS 2664,3,B
73,FS2020,EE 2509,3,B
51,FS2020,PHIL 1929,3,F
13,FS2020,LAW 2065,2,D
1,FS2020,LAW 2562,3,B
52,FS2020,MUS 1462,3,C
53,FS2020,EE 1962,3,D
67,FS2020,CS 2712,3,A
65,FS2020,MUS 1767,2,F
10,FS2020,SOC 2802,3,A
54,FS2020,CS 1739,2,D
36,FS2020,PSY 1728,3,C
27,FS2020,ENV 2254,4,A
73,FS2020,ART 1838,3,A
63,FS2020,PHYS 1637,3,D
49,FS2020,ENV 1010,3,C
22,FS2020,ME 1254,3,C
74,FS2020,CHEM 2814,3,A
57,FS2020,ENV 1573,2,B
16,FS2020,HIST 1651,3,B
80,FS2020,CHEM 2343,2,C
14,FS2020,HIST 2223,2,C
55,FS2020,MUS 2404,3,B
25,FS2020,CHEM 2920,4,C
60,FS2020,MUS 2908,4,B
80,FS2020,ENV 1507,4,B
41,FS2020,BUS 1121,3,C
28,FS2020,EE 2558,4,D
14,FS2020,ART 1341,3,A
13,FS2020,PHIL 2294,2,C
6,FS2020,MATH 1270,2,F
21,FS2020,ECON 2903,3,C
62,FS2020,EE 2994,4,C
13,FS2020,ME 2049,4,B
45,FS2020,MATH 2931,4,C
70,FS2020,MATH 1637,3,C
2,FS2020,EDU 1645,2,C
44,FS2020,CHEM 1991,2,F
63,FS2020,ART 2690,4,C
0,FS2020,BIO 1729,3,C
3,FS2020,EE 1269,3,C
51,FS2020,BIO 2506,3,B
53,FS2020,BIO 1587,3,C
10,FS2020,EDU 1958,3,F
32,FS2020,SOC 2302,4,D
14,FS2020,POLSCI 2437,3,B
67,FS2020,EE 1322,3,B
53,FS2020,PHYS 1212,3,B
14,FS2020,BIO 2334,4,B
16,FS2020,SOC 2461,3,D
68,FS2020,PSY 1345,4,B
4,FS2020,MATH 2008,4,A
33,FS2020,HIST 1708,3,C
46,FS2020,ART 2814,3,B
28,FS2020,SOC 1516,2,F
7,FS2020,ECON 1938,3,A
36,FS2020,LAW 1064,2,C
78,FS2020,CS 2270,4,D
18,FS2020,POLSCI 1325,3,C
76,FS2020,PHIL 2695,3,B
79,FS2020,HIST 1749,3,A
52,FS2020,PHYS 2193,3,A
4,FS2020,CS 1298,3,D
8,FS2020,BUS 1740,3,F
32,FS2020,HIST 2305,2,D
20,FS2020,PHYS 1214,4,B
17,FS2020,ART 1294,2,C
70,FS2020,ENG 1794,3,B
10,FS2020,EDU 1403,3,B
22,FS2020,PHYS 2169,3,F
4,FS2020,PSY 1256,3,F
3,FS2020,CS 1030,4,B
12,FS2020,CS 1833,3,A
24,FS2020,SOC 1443,3,B
65,FS2020,ENG 1746,4,C
5,FS2020,BIO 1797,2,B
15,FS2020,BUS 1745,2,F
55,FS2020,MUS 1988,3,C
50,FS2020,PHYS 1096,4,F
42,FS2020,ME 2889,4,F
78,FS2020,CHEM 1867,4,C
56,FS2020,ME 1754,2,B
39,FS2020,CS 1810,4,B
30,FS2020,ART 1816,2,B
1,FS2020,BIO 1630,2,C
8,FS2020,EE 1496,3,C
66,FS2020,CHEM 1355,2,B
48,FS2020,ENG 2290,3,A
69,FS2020,ENG 2385,3,F
71,FS2020,ART 2091,3,F
2,FS2020,MATH 1254,3,F
74,FS2020,PSY 1845,3,B
23,FS2020,ECON 1169,4,B
58,FS2020,ENG 1336,3,B
0,FS2020,EE 1100,3,B
3,FS2020,POLSCI 1907,3,A
25,FS2020,MUS 1889,4,D
10,FS2020,PSY 2097,3,A
38,FS2020,CS 1405,3,D
21,FS2020,ART 1034,3,B
11,FS2020,ME 2083,3,B
20,FS2020,BUS 1949,4,B
51,FS2020,PSY 1296,3,B
37,FS2020,ECON 2479,3,A
5,FS2020,ENV 2918,3,A
56,FS2020,ME 2682,3,A
38,FS2020,CHEM 2550,4,C
65,FS2020,PHYS 1782,2,B
4,FS2020,PHIL 1349,3,B
1,FS2020,BUS 2512,3,B
25,FS2020,SOC 1445,4,B
73,FS2020,ART 1588,3,C
19,FS2020,LAW 1117,4,C
18,FS2020,ME 1214,3,C
80,FS2020,SOC 2761,4,C
75,FS2020,POLSCI 1558,3,B
21,FS2020,CS 1502,3,B
20,FS2020,ECON 2105,3,D
71,FS2020,POLSCI 2594,3,A
78,FS2020,HIST 1980,2,F
60,FS2020,CS 1862,3,D
61,FS2020,PHYS 2342,3,B
58,FS2020,ENV 1412,2,A
79,FS2020,ART 1005,3,C
71,FS2020,MUS 1198,4,A
59,FS2020,ECON 1389,3,B
40,FS2020,CHEM 2027,3,A
63,FS2020,ME 1990,3,A
34,FS2020,EE 1661,3,B
19,FS2020,ART 2450,4,B
36,FS2020,CS 2354,2,A
26,FS2020,SOC 2115,3,C
36,FS2020,ENG 2119,3,A
61,FS2020,MATH 2339,3,C
31,FS2020,PHIL 2587,4,B
15,FS2020,MATH 1838,3,B
47,FS2020,ECON 2282,3,D
62,FS2020,SOC 1855,3,B
13,FS2020,PHIL 1321,4,C
38,FS2020,EDU 1642,3,B
29,FS2020,HIST 1558,2,B
21,FS2020,HIST 2124,3,C
60,FS2020,ENG 1245,3,C
49,FS2020,PHIL 2630,3,B
76,FS2020,CHEM 2772,4,C
45,FS2020,SOC 1636,3,A
63,FS2020,PHYS 1492,3,B
35,FS2020,ECON 2540,4,D
32,FS2020,EDU 1600,3,A
62,FS2020,BUS 2616,4,B
43,FS2020,ME 1366,3,A
6,FS2020,ECON 2095,3,A
25,FS2020,EDU 1472,2,A
59,FS2020,CHEM 2796,3,B
41,FS2020,BUS 1344,4,B
54,FS2020,PHYS 1416,4,B
44,FS2020,ME 1748,3,A
10,FS2020,POLSCI 1012,2,B
20,FS2020,BIO 2967,2,B
35,FS2020,ENG 1802,3,A
68,FS2020,POLSCI 1347,4,C
1,FS2020,ECON 1053,3,A
75,FS2020,EE 1857,3,C
56,FS2020,ME 2673,4,C
29,FS2020,SOC 1270,4,A
27,FS2020,ART 1851,3,B
32,FS2020,EDU 1823,3,B
1,FS2020,LAW 2363,4,F
42,FS2020,ECON 2055,2,B
18,FS2020,ART 2971,3,B
14,FS2020,ENV 1198,3,C
45,FS2020,BIO 2937,3,B
50,FS2020,HIST 2181,3,B
31,FS2020,PHIL 1920,2,B
75,FS2020,PHYS 2428,3,A
46,FS2020,EDU 2241,4,B
72,FS2020,ART 1725,4,B
64,FS2020,MUS 1134,3,F
35,FS2020,ENG 1506,4,C
16,FS2020,BIO 2489,3,A
42,FS2020,EE 1330,3,C
30,FS2020,MUS 2085,3,C
66,FS2020,BIO 2587,2,C
27,FS2020,POLSCI 1552,3,B
0,FS2020,PHYS 1475,3,B
16,FS2020,ENG 1705,3,C
12,FS2020,EE 1449,3,B
44,FS2020,EDU 1501,3,B
22,FS2020,ENG 1096,3,C
59,FS2020,EE 1451,4,D
17,FS2020,PHIL 1640,3,A
26,FS2020,EE 1551,3,C
61,FS2020,PSY 2946,3,A
40,FS2020,CS 2746,3,B
17,FS2020,ENG 2576,3,A
72,FS2020,EE 2857,4,B
12,FS2020,EE 1870,2,F
4,FS2020,BIO 1586,3,B
6,FS2020,CHEM 1962,3,C
26,FS2020,EE 1319,3,D
22,FS2020,HIST 1080,2,A
46,FS2020,ECON 2756,2,B
37,FS2020,BUS 1404,3,F
33,FS2020,MATH 2091,3,F
12,FS2020,BIO 1790,3,C
58,FS2020,PSY 1195,2,C
70,FS2020,CHEM 1393,2,A
77,FS2020,PHYS 1935,4,C
56,FS2020,ME 1587,3,C
73,FS2020,BUS 2661,2,B
75,FS2020,ECON 1917,2,C
75,FS2020,POLSCI 1014,3,C
22,FS2020,ME 2367,2,B
26,FS2020,ENG 1969,3,F
62,FS2020,CS 1244,3,C
48,FS2020,PSY 1736,2,C
41,FS2020,MATH 1111,3,F
42,FS2020,MATH 2611,4,B
15,FS2020,ENV 1775,3,A
67,FS2020,PHYS 1880,3,B
40,FS2020,BUS 1729,2,C
45,FS2020,MATH 2656,4,B
69,FS2020,CS 1399,2,C
70,FS2020,PHYS 1736,2,D
52,FS2020,EE 1063,4,F
76,FS2020,MATH 1898,2,B
33,FS2020,ART 2556,3,C
72,FS2020,MATH 1843,3,C
77,FS2020,CS 2403,3,B
75,FS2020,ART 1063,3,B
57,FS2020,SOC 2307,4,C
23,FS2020,CHEM 1262,3,C
7,FS2020,EDU 1003,3,C
2,FS2020,PSY 2450,3,B
55,FS2020,CS 2151,3,B
34,FS2020,CHEM 1313,3,F
65,FS2020,MUS 1653,3,B
51,FS2020,ENV 2038,3,A
20,FS2020,LAW 1582,4,D
33,FS2020,LAW 1635,3,C
49,FS2020,PSY 1476,4,C
70,FS2020,CHEM 2457,3,F
76,FS2020,PHYS 1581,3,F
53,FS2020,BIO 1520,3,B
78,FS2020,ENG 1908,3,B
58,FS2020,HIST 1736,3,F
43,FS2020,CS 1331,4,F
66,FS2020,BUS 1228,3,A
30,FS2020,ENV 1042,4,C
24,FS2020,ENV 1482,3,A
36,FS2020,ENV 1241,3,A
47,FS2020,PHIL 1594,3,A
43,FS2020,ART 2637,3,A
21,FS2020,LAW 1188,2,D
21,FS2020,ME 1395,2,A
41,FS2020,POLSCI 1158,4,F
66,FS2020,SOC 1621,4,C
54,FS2020,CS 2995,3,D
23,FS2020,ENG 2033,3,C
68,FS2020,EDU 1840,2,B
19,FS2020,MATH 1576,3,B
60,FS2020,CS 1976,2,A
24,FS2020,MUS 2365,3,B
59,FS2020,PSY 1801,3,B
8,FS2020,PSY 1474,3,B
74,FS2020,BIO 1971,2,B
11,FS2020,EE 2710,3,C
15,FS2020,MATH 1578,3,B
44,FS2020,ENV 1239,3,B
34,FS2020,PHYS 1327,3,D
29,FS2020,ENV 1483,3,C
2,FS2020,MUS 2652,2,B
6,FS2020,CS 1677,4,D
5,FS2020,ART 1203,3,A
31,FS2020,PSY 1175,3,C
26,FS2020,BUS 1993,4,B
64,FS2020,HIST 1093,3,B
55,FS2020,ME 1900,4,D
40,FS2020,CS 2682,3,D
17,FS2020,PHYS 2236,2,D
9,FS2020,ENV 2392,3,A
44,FS2020,CHEM 1488,3,B
60,FS2020,CHEM 1886,3,B
79,FS2020,ME 1507,2,C
32,FS2020,BIO 1462,3,C
7,FS2020,PHYS 2612,2,B
70,FS2020,MATH 1274,4,C
38,FS2020,PHYS 2290,2,B
52,FS2020,PSY 1216,3,B
47,FS2020,HIST 2398,2,B
66,FS2020,ME 2865,2,A
0,FS2020,EDU 1953,4,C
47,FS2020,ENG 1910,2,C
72,FS2020,CHEM 2443,4,A
18,FS2020,LAW 1920,3,D
41,FS2020,EDU 1782,3,D
69,FS2020,LAW 1542,3,A
39,FS2020,CHEM 2647,2,A
31,FS2020,PSY 1564,3,C
17,FS2020,POLSCI 2061,4,A
54,FS2020,LAW 1562,4,A
39,FS2020,ECON 1981,3,F
11,FS2020,EDU 1441,4,A
8,FS2020,ENG 1242,3,B
5,FS2020,SOC 1647,4,B
49,FS2020,PSY 2020,3,D
36,FS2020,ENG 1349,4,C
71,FS2020,LAW 1408,3,F
5,FS2020,BIO 1537,3,A
69,FS2020,CHEM 1635,3,B
42,FS2020,LAW 1112,3,C
48,FS2020,ENV 1338,3,A
53,FS2020,MATH 1635,3,B
30,FS2020,ME 2942,3,B
68,FS2020,EDU 1380,3,B
25,FS2020,BIO 1214,4,F
11,FS2020,CS 1363,4,C
24,FS2020,ENV 1486,4,B
23,FS2020,EE 1059,3,D
1,FS2020,ECON 1013,2,B
61,FS2020,CHEM 1075,3,C
11,FS2020,EE 1270,2,C
56,FS2020,CS 2025,2,C
2,FS2020,ENV 2208,2,B
28,FS2020,BIO 2657,3,F
7,FS2020,PSY 1094,3,A
74,FS2020,PSY 1129,3,A
65,FS2020,EDU 1425,4,A
40,FS2020,PHYS 1944,3,B
52,FS2020,BUS 2147,2,A
69,FS2020,CHEM 2565,3,B
63,FS2020,ENG 1170,2,A
43,FS2020,ME 1068,3,C
38,FS2020,PSY 2904,3,A
39,FS2020,CS 1510,4,B
55,FS2020,ENG 1740,4,A
73,FS2020,HIST 1317,4,C
46,FS2020,SOC 2785,3,A
79,FS2020,BIO 2128,3,B
74,FS2020,MATH 1378,4,B
56,FS2020,LAW 2484,3,C
65,FS2020,ECON 1435,3,A
49,FS2020,EE 2879,3,C
37,FS2020,HIST 1491,4,A
29,FS2020,MATH 1821,3,A
7,FS2020,SOC 1219,3,C
40,FS2020,PSY 2764,3,B
35,FS2020,CHEM 1688,2,B
57,FS2020,PSY 1755,3,B
48,FS2020,EDU 1474,4,A
19,FS2020,POLSCI 1540,3,A
9,FS2020,BUS 1412,3,B
0,FS2020,ENG 1830,3,A
78,FS2020,LAW 1153,2,D
9,FS2020,HIST 2602,2,C
14,FS2020,MUS 1069,2,B
37,FS2020,HIST 2959,3,C
6,FS2020,SOC 2614,3,B
48,FS2020,ENV 1091,2,B
68,FS2020,POLSCI 1328,2,B
16,FS2020,ENV 2821,2,C
63,FS2020,ECON 1785,3,D
9,FS2020,EDU 1274,3,A
64,FS2020,BIO 1731,3,C
48,FS2020,MATH 1347,4,A
44,FS2020,CHEM 1631,3,B
2,FS2020,ECON 2365,3,C
58,FS2020,ENV 1513,4,F
16,FS2020,HIST 2655,2,C
50,FS2020,EE 1996,4,B
30,FS2020,ME 2488,4,B
61,FS2020,ENV 1077,3,C
79,FS2020,EDU 2289,3,D
24,FS2020,ENG 1124,4,B
57,FS2020,CS 1625,3,B
77,FS2020,EE 2964,4,A
59,FS2020,LAW 1626,2,B
45,FS2020,SOC 2377,3,B
9,FS2020,EDU 1561,3,B
67,FS2020,BIO 1718,4,C
9,FS2020,MUS 1381,3,C
32,FS2020,LAW 1790,2,C
34,FS2020,MUS 1904,4,C
80,FS2020,SOC 1101,3,C
34,FS2020,ENV 1139,2,B
31,FS2020,POLSCI 1572,3,B
10,FS2020,LAW 1081,2,C
8,FS2020,PHYS 1411,4,A
64,FS2020,EE 2254,2,C
43,FS2020,EE 1111,4,A
46,FS2020,ENG 1271,3,C
3,FS2020,ART 1872,3,B
58,FS2020,HIST 1723,4,D
29,FS2020,CHEM 1942,4,B
51,FS2020,SOC 2122,4,C
35,FS2020,EE 2982,3,C
71,FS2020,LAW 2719,4,C
54,FS2020,PSY 1478,3,A
64,FS2020,ME 1381,3,A
47,FS2020,LAW 1659,2,B
57,FS2020,CHEM 2286,3,C
27,FS2020,MUS 1876,3,B
23,FS2020,MATH 1523,3,A
27,FS2020,LAW 2124,3,B
66,FS2020,ENV 1041,3,A
17,FS2020,ART 2734,4,D
69,FS2020,PHIL 1760,3,C
15,FS2020,LAW 1742,4,B
61,FS2020,POLSCI 1166,2,A
39,FS2020,ART 1547,3,C
22,FS2020,ART 1285,3,F
80,FS2020,ECON 2552,3,B
3,FS2020,PHYS 2693,4,B
34,FS2020,LAW 2841,2,D
12,FS2020,HIST 1241,4,B
19,FS2020,CS 1055,3,C
50,FS2020,CS 1541,4,C
64,FS2020,ENG 1659,3,A
18,FS2020,ME 2588,4,D
