StudentID,Semester,Course,Hours,Grade
79,SP2021,CHEM 3777,3,B
13,SP2021,CHEM 2843,2,D
32,SP2021,BIO 3050,3,C
5,SP2021,EDU 2338,3,B
67,SP2021,MUS 2099,3,F
71,SP2021,BIO 2947,4,A
28,SP2021,ECON 3593,3,A
27,SP2021,PHYS 2596,3,B
30,SP2021,BIO 3924,3,B
32,SP2021,MATH 2258,3,B
77,SP2021,MUS 2029,3,C
12,SP2021,EDU 2573,3,B
36,SP2021,BIO 2471,3,B
62,SP2021,ART 2629,3,B
7,SP2021,SOC 2805,4,A
25,SP2021,HIST 3465,2,B
50,SP2021,SOC 3259,3,A
13,SP2021,MATH 2406,3,C
1,SP2021,ART 2738,2,C
51,SP2021,ART 3930,4,B
53,SP2021,SOC 2170,3,B
54,SP2021,PHYS 2027,3,C
72,SP2021,MATH 2851,4,A
9,SP2021,CS 2006,3,C
25,SP2021,CHEM 2224,4,B
35,SP2021,ENV 2461,3,C
26,SP2021,PHIL 2181,3,B
73,SP2021,BUS 3676,4,C
45,SP2021,BUS 2743,3,C
49,SP2021,CS 2266,3,F
22,SP2021,SOC 3959,3,D
46,SP2021,BUS 2986,3,C
56,SP2021,ECON 3057,4,C
17,SP2021,EE 2378,3,B
80,SP2021,MATH 2507,3,B
13,SP2021,PSY 2604,4,C
38,SP2021,MUS 3384,2,F
66,SP2021,SOC 2111,4,B
59,SP2021,CS 2703,3,C
80,SP2021,PHYS 3723,3,C
40,SP2021,ENG 3897,3,A
27,SP2021,ECON 2431,3,B
14,SP2021,HIST 3752,4,B
13,SP2021,LAW 2292,3,B
6,SP2021,BUS 2589,3,B
21,SP2021,PHYS 2222,4,A
55,SP2021,MATH 3763,3,C
13,SP2021,HIST 3527,2,B
70,SP2021,PSY 2731,4,A
70,SP2021,PSY 3870,3,C
2,SP2021,EDU 3471,3,C
77,SP2021,MUS 2383,3,A
36,SP2021,ENG 2116,4,F
0,SP2021,PSY 2219,3,B
3,SP2021,ENV 2025,3,B
51,SP2021,POLSCI 2676,3,B
52,SP2021,CS 2337,2,C
10,SP2021,EE 3945,2,A
31,SP2021,HIST 3435,4,B
14,SP2021,ECON 2717,4,C
35,SP2021,ME 3822,2,C
55,SP2021,MATH 3027,3,A
14,SP2021,ME 2470,3,F
16,SP2021,ART 2121,4,B
68,SP2021,PSY 2632,4,C
4,SP2021,EE 2529,4,A
73,SP2021,ENG 2279,4,B
33,SP2021,PSY 2100,3,C
32,SP2021,CHEM 2567,3,D
7,SP2021,SOC 2536,2,F
33,SP2021,BIO 3892,3,A
78,SP2021,ART 2060,4,C
18,SP2021,ME 3134,4,F
71,SP2021,HIST 2103,3,F
79,SP2021,BIO 2299,3,B
51,SP2021,LAW 3904,4,A
4,SP2021,EE 2740,3,C
8,SP2021,ART 2227,3,F
53,SP2021,BUS 3965,3,A
20,SP2021,ENV 2360,2,A
17,SP2021,LAW 3142,3,A
70,SP2021,LAW 2199,3,B
10,SP2021,LAW 2604,3,B
22,SP2021,BIO 2241,2,B
4,SP2021,BUS 2351,3,D
3,SP2021,ME 3801,3,D
11,SP2021,ENG 3590,3,C
24,SP2021,CS 3866,3,A
76,SP2021,LAW 2812,3,C
5,SP2021,ENV 2206,2,B
15,SP2021,BUS 2272,3,B
55,SP2021,MUS 2063,2,C
30,SP2021,MATH 2333,3,C
42,SP2021,BIO 2978,3,C
78,SP2021,ME 3250,4,B
53,SP2021,ME 2537,3,A
62,SP2021,HIST 2066,3,C
60,SP2021,ECON 3057,4,D
1,SP2021,ME 3669,3,B
8,SP2021,ME 3598,3,B
40,SP2021,CS 2102,2,B
62,SP2021,PHYS 2938,3,A
69,SP2021,MATH 2205,3,B
65,SP2021,ENG 2904,3,A
2,SP2021,ME 2701,3,A
74,SP2021,PHIL 2269,3,D
23,SP2021,PSY 2684,3,A
57,SP2021,SOC 3429,2,A
0,SP2021,ENV 3857,3,C
3,SP2021,MATH 2219,4,B
71,SP2021,LAW 2344,3,B
10,SP2021,MATH 2698,2,B
68,SP2021,CS 3716,3,F
75,SP2021,HIST 2419,3,F
11,SP2021,MUS 2494,3,A
20,SP2021,PHYS 2095,3,B
50,SP2021,BIO 2225,3,A
36,SP2021,SOC 2878,3,B
5,SP2021,EDU 2162,3,C
60,SP2021,EE 2076,3,B
37,SP2021,ENG 3097,4,B
38,SP2021,CHEM 2114,4,B
4,SP2021,SOC 2158,4,A
1,SP2021,CHEM 2096,3,C
76,SP2021,CHEM 3812,4,D
73,SP2021,PHYS 2090,3,C
19,SP2021,LAW 2369,3,A
18,SP2021,BUS 3862,2,A
74,SP2021,BUS 2719,3,B
75,SP2021,CHEM 2208,4,B
21,SP2021,ENG 2463,3,C
